@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
102,'2020/05/08 10:54:33:522',4,-296.518036,-1164.044189,125.721992,-63.089981,-345.161011,-930.853516,103.568924,-257.806854,0.033279,-0.168239,4
103,'2020/05/08 10:54:33:589',4,-296.765015,-1162.867798,126.348289,-63.490971,-345.383728,-930.025452,103.944794,-258.076935,0.032109,-0.172745,4
104,'2020/05/08 10:54:33:665',4,-297.237518,-1162.529297,121.939095,-62.720863,-345.548004,-930.630493,103.527367,-261.680145,0.019632,-0.166061,4
105,'2020/05/08 10:54:33:744',4,-296.695251,-1162.106445,121.316574,-64.549179,-345.835327,-930.611511,104.034065,-261.681183,0.017715,-0.161691,4
106,'2020/05/08 10:54:33:813',4,-295.665283,-1160.641357,123.305023,-62.982841,-346.101685,-929.910461,104.203972,-258.881104,0.027937,-0.168998,4
107,'2020/05/08 10:54:33:880',4,-296.094025,-1159.426025,121.994942,-62.952759,-346.950226,-928.810242,104.082451,-259.62088,0.017215,-0.169244,4
108,'2020/05/08 10:54:33:947',4,-295.244965,-1155.65332,123.318085,-62.932507,-347.190033,-925.806763,104.218079,-258.565033,0.010909,-0.167113,4
109,'2020/05/08 10:54:34:021',4,-294.667633,-1158.542603,128.59201,-61.400681,-344.961365,-927.408386,104.851974,-255.45105,0.033449,-0.165607,4
110,'2020/05/08 10:54:34:092',4,-294.469238,-1157.573975,129.137299,-61.19685,-344.814545,-926.696838,105.101425,-255.339294,0.032153,-0.168571,4
111,'2020/05/08 10:54:34:162',4,-292.838806,-1157.82312,129.983688,-60.612186,-343.894226,-927.039001,105.496254,-255.279755,0.029727,-0.167656,4
112,'2020/05/08 10:54:34:231',4,-288.748871,-1156.270996,123.655464,-59.084354,-341.617218,-926.46344,106.544327,-256.039825,0.018673,-0.168081,4
113,'2020/05/08 10:54:34:295',4,-288.748871,-1156.270996,123.655464,-59.084354,-341.617218,-926.46344,106.544327,-256.039825,0.018673,-0.168081,4
114,'2020/05/08 10:54:34:363',4,-286.981079,-1155.360596,122.921745,-58.043301,-340.629242,-925.685791,106.39045,-255.100037,0.010769,-0.164463,4
115,'2020/05/08 10:54:34:435',4,-286.120972,-1157.05896,123.423203,-58.146866,-338.019531,-927.078735,106.875435,-255.225357,0.013624,-0.16614,4
116,'2020/05/08 10:54:34:503',4,-286.097046,-1157.053467,123.399574,-58.126865,-338.003967,-927.078369,106.866501,-255.214066,0.013637,-0.166215,4
117,'2020/05/08 10:56:03:020',5,-428.681732,-40.93568,289.924438,-989.470154,-441.710999,-247.898132,155.619186,-802.226379,0.033639,0.209647,5
118,'2020/05/08 10:56:03:102',5,-426.729767,-41.423649,282.272583,-984.28125,-441.401947,-247.07782,156.13916,-793.843506,0.021351,0.213797,5
119,'2020/05/08 10:56:03:165',5,-426.319031,-41.568279,282.052551,-984.67041,-441.297241,-246.996078,156.121078,-794.179871,0.022786,0.214531,5
120,'2020/05/08 10:56:03:229',5,-428.095642,-41.241512,281.311401,-984.435547,-442.296692,-246.895706,155.611938,-793.98114,0.024368,0.214715,5
121,'2020/05/08 10:56:03:292',5,-427.216553,-39.129032,280.996338,-984.457031,-441.159485,-246.217163,155.714127,-793.493347,0.034009,0.238643,5
122,'2020/05/08 10:56:03:357',5,-428.303741,-40.181549,280.64447,-985.070007,-441.860474,-245.516205,155.397598,-794.144287,0.028973,0.23107,5
123,'2020/05/08 10:56:03:420',5,-426.575562,-40.391178,280.132996,-983.18042,-442.113922,-244.976791,153.686066,-793.757141,0.02834,0.222572,5
124,'2020/05/08 10:56:03:484',5,-427.336761,-39.403408,280.84668,-985.460083,-442.249237,-244.951462,153.444077,-795.506592,0.028447,0.226093,5
125,'2020/05/08 10:56:03:547',5,-426.774231,-37.005173,280.837189,-985.420715,-441.756409,-244.318848,152.127213,-796.009521,0.024385,0.217551,5
126,'2020/05/08 10:56:03:610',5,-427.004059,-38.20668,281.606506,-987.307312,-441.821625,-243.869965,152.40065,-797.780579,0.026327,0.22103,5
127,'2020/05/08 10:56:03:672',5,-427.007751,-38.196697,281.605499,-987.299255,-441.821594,-243.865372,152.398926,-797.774048,0.026325,0.221037,5
128,'2020/05/08 10:56:03:732',5,-426.98291,-38.198978,281.622894,-987.292908,-441.804993,-243.863647,152.409409,-797.767029,0.026258,0.220994,5
